City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain (inches),Snow (inches)
297,Kahului,US,20.89,-156.47,87.8,43,40,20.8,scattered clouds,0.0,0
298,Te Anau,NZ,-45.42,167.72,50.94,74,11,1.14,few clouds,0.0,0
299,Daigo,JP,36.77,140.35,68.0,88,75,4.7,mist,0.0,0
300,Omachi,JP,36.5,137.87,84.0,65,75,10.29,broken clouds,0.0,0
301,Devonport,AU,-41.17,146.35,63.0,74,33,1.99,scattered clouds,0.0,0
302,Kargasok,RU,59.06,80.86,56.98,82,99,6.24,overcast clouds,0.0,0
303,Khandyga,RU,62.67,135.6,80.11,35,0,3.15,clear sky,0.0,0
304,Cody,US,44.53,-109.06,78.01,36,1,6.93,clear sky,0.0,0
305,Tiznit,MA,29.58,-9.5,63.63,82,0,1.63,clear sky,0.0,0
306,Toamasina,MG,-18.17,49.38,70.86,86,66,3.71,broken clouds,0.0,0
307,Roald,NO,62.58,6.13,57.2,93,98,4.7,overcast clouds,0.0,0
308,Manadhoo,MV,5.77,73.38,83.71,77,98,14.81,overcast clouds,0.0,0
309,Baruun-Urt,MN,46.68,113.28,70.07,56,98,16.55,overcast clouds,0.0,0
310,Mount Gambier,AU,-37.83,140.77,53.6,93,90,8.05,overcast clouds,0.0,0
